id,titulo,inicio,fin,todo_el_dia,calendario,color_id,color_nombre,etiqueta,color_hex,usa_color_predeterminado,color,telefono,nombre,pendiente,cotizacion,p,requerimiento,notas,descripcion,ubicacion
1rl53ve0q6etmppm050phmsu89,ESTRIBOS TOWN ACE 2021 ORDEN 1708 DIA 17,2026-08-11T15:00:00-04:00,2026-08-11T16:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
20f1p7cmri4bmblkopbtah41t1,REP. GRADO B FRENTE TIPO CACHITO HILUX DOBLE CAB. 2015 ORDEN 0194 DIA 22,2026-08-11T17:00:00-04:00,2026-08-11T18:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
79buns8c4lu1shs1dg80fvv5kc,ESTRIBOS CHEVROLET CMV 2011 ORDEN 1014 DIA 21,2026-08-18T10:30:00-04:00,2026-08-18T11:30:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
5j6aom3iaf7c0drr5hl29tmb0i,ESTRIBOS TOWN ACE 2020 ORDEN 1039 DIA 29,2026-08-20T01:00:00-04:00,2026-08-20T02:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
5mjjrt83cbb83tu1k625d2evuj,FRENTE CON DOS OREJITAS ADICIONALES  ALOGENO  PLATANERA HIJET 1997 ORDEN 1042 DIA 24,2026-08-25T03:15:00-04:00,2026-08-25T04:15:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
6a1ocf39kst9g4707bomhdahou,DEIVI ESTRIBOS   K2700 1 CAB. 2027 ORDEN 1056 DIA 2,2026-08-26T04:00:00-04:00,2026-08-26T05:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
532d3hid8vrmq89d72rrhnmblj,REP. GRADO C FRENTE TOWN ACE 2019 ORDEN 0201 DIA 1,2026-08-31T01:00:00-04:00,2026-08-31T02:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
31vk68u35mre3jhdvt55u6gcsr,VER FOTO TUBO RELLENO FRENTE DAIHATSU TERIOS 2008 ORDEN 1050 DIA 31,2026-08-31T02:00:00-04:00,2026-08-31T03:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
2sjif8qktco3fd9bcvbhqslk6g,FRENTE SUZUKI CARRY 2019 ORDEN 1044 DIA 29,2026-09-01T00:00:00-04:00,2026-09-01T01:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
32o3ea61fv9i30msaqlio1c0i9,ESTRIBOS SUZUKI CARRY 2019 ORDEN 1044 DIA 29,2026-09-01T02:00:00-04:00,2026-09-01T03:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
5t3f60cfp02tdc17rnmu5pv3uu,PARRILLA  HYUNDAI STAREX H1 2019 ORDEN 1029 DIA 28,2026-09-01T03:00:00-04:00,2026-09-01T04:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
2jt1n4qhnbqvrqnbfilca97qkn,ESCALERITA  HYUNDAI STAREX H1 2019 ORDEN 1029 DIA 28,2026-09-01T04:00:00-04:00,2026-09-01T05:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
40r187ippqik6h7r0tua19rjhn,FRENTE DONFENG 2010 ORDEN 1047 DIA 31,2026-09-02T01:00:00-04:00,2026-09-02T02:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
6rt11ea564a3aa231n3a08a8dq,FRENTE+PORTA PIES JMC CARA ANCHA ORDEN 1059,2026-09-04T04:00:00-04:00,2026-09-04T05:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
4tsc5db5vlsh2bt7fm68reh9en,FRENTE+PORTA PIES FUSO 2025 ORDEN 1027 DIA 9,2026-09-04T05:00:00-04:00,2026-09-04T06:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
60ea9eurl4htkh41lq33fo008e,FRENTE NV350 TECHO BAJITO 2021 ORDEN 1067 DIA 9,2026-09-05T04:00:00-04:00,2026-09-05T05:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
6ogbqufmm0piri2s3jhck3g33r,FRENTE HIJET ORDEN 2096,2026-09-05T05:00:00-04:00,2026-09-05T06:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
1ii5mg730sje3on4vonlelg2gn,FRENTE HIJET ORDEN 2097,2026-09-05T06:00:00-04:00,2026-09-05T07:00:00-04:00,No,PUESTO 4 DE 8AM 4PM,6,Otro,NONE,#ffad46,Si,,,,,,,,,,
